window_id,label_row,solution_id,type,label,event_index,pause_start_ts,trigger_ts,trigger_definition,session_start_ts,session_end_ts,keys_5s,backspace_5s,navigation_5s,enter_5s,keys_10s,backspace_10s,navigation_10s,enter_10s,keys_30s,backspace_30s,navigation_30s,enter_30s,keys_60s,backspace_60s,navigation_60s,enter_60s,keys_120s,backspace_120s,navigation_120s,enter_120s,events_before,current_idle_s
1248473:0052,52,1248473,DEBUG,1,1076,2026-01-04T00:21:05.637000,2026-01-04T00:21:07.637000,backspace+2s,2026-01-03T23:57:41.443000,2026-01-04T00:24:13.559000,10,10,0,0,10,10,0,0,10,10,0,0,10,10,0,0,15,10,0,0,1077,2.0
1385707:0053,53,1385707,IDLE,1,3,2026-01-09T23:14:53.879000,2026-01-09T23:15:23.879000,pause_start+30s,2026-01-09T23:14:52.917000,2026-01-09T23:25:39.879000,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,4,0,0,0,4,30.0
1438301:0054,54,1438301,IDLE,1,0,2026-03-27T12:31:17.581000,2026-03-27T12:31:47.581000,pause_start+30s,2026-03-27T12:31:17.581000,2026-03-27T12:51:21.869000,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,30.0
1360952:0055,55,1360952,DEBUG,1,66,2026-01-09T10:31:12.290000,2026-01-09T10:31:14.290000,backspace+2s,2026-01-09T10:22:57.663000,2026-01-09T10:47:42.316000,6,2,0,0,6,2,0,0,6,2,0,0,6,2,0,0,23,2,0,0,67,2.0
1369836:0056,56,1369836,IDLE,1,359,2026-01-09T17:10:28.391000,2026-01-09T17:10:58.391000,pause_start+30s,2026-01-09T17:06:02.426000,2026-01-09T17:26:55.268000,0,0,0,0,0,0,0,0,1,0,0,0,18,0,0,2,114,0,0,3,360,30.0
1209755:0057,57,1209755,IDLE,1,561,2025-12-30T11:03:53.421000,2025-12-30T11:04:23.421000,pause_start+30s,2025-12-30T10:56:39.570000,2025-12-30T11:10:11.765000,0,0,0,0,0,0,0,0,1,0,0,0,25,0,0,0,138,0,0,2,562,30.0
1117585:0058,58,1117585,IDLE,0,177,2025-12-22T17:13:32.952000,2025-12-22T17:14:02.952000,pause_start+30s,2025-12-22T17:11:50.673000,2025-12-22T17:38:49.377000,0,0,0,0,0,0,0,0,1,0,0,0,33,0,3,3,135,0,3,9,178,30.0
1162862:0059,59,1162862,IDLE,1,543,2025-12-26T08:35:47.635000,2025-12-26T08:36:17.635000,pause_start+30s,2025-12-26T08:29:57.420000,2025-12-26T08:48:27.988000,0,0,0,0,0,0,0,0,1,0,0,0,41,0,0,0,61,0,0,2,544,30.0
1296622:0060,60,1296622,DEBUG,0,295,2026-01-06T17:57:30.367000,2026-01-06T17:57:32.367000,backspace+2s,2026-01-06T17:51:45.114000,2026-01-06T18:08:48.363000,12,4,0,0,14,5,0,0,14,5,0,0,14,5,0,0,36,5,0,1,296,2.0
1375111:0061,61,1375111,IDLE,1,371,2026-01-09T19:39:23.610000,2026-01-09T19:39:53.610000,pause_start+30s,2026-01-09T19:35:41.432000,2026-01-09T19:42:16.705000,0,0,0,0,0,0,0,0,1,0,0,0,40,0,0,0,130,0,0,2,372,30.0
1379734:0062,62,1379734,IDLE,1,106,2026-01-09T21:14:18.924000,2026-01-09T21:14:48.924000,pause_start+30s,2026-01-09T21:13:16.803000,2026-01-09T21:21:05.291000,0,0,0,0,0,0,0,0,1,0,0,1,35,0,0,1,107,0,0,7,107,30.0
1167771:0063,63,1167771,DEBUG,1,269,2025-12-26T14:11:32.553000,2025-12-26T14:11:34.553000,backspace+2s,2025-12-26T14:06:09.966000,2025-12-26T14:14:19.776000,1,1,0,0,1,1,0,0,1,1,0,0,4,1,0,0,4,1,0,0,270,2.0
1344866:0064,64,1344866,IDLE,1,196,2026-01-08T16:53:09.283000,2026-01-08T16:53:39.283000,pause_start+30s,2026-01-08T16:51:09.527000,2026-01-08T17:14:29.521000,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,1,114,0,0,6,197,30.0
1046926:0065,65,1046926,IDLE,1,31,2025-12-14T19:20:17.115000,2025-12-14T19:20:47.115000,pause_start+30s,2025-12-14T19:20:15.730000,2025-12-14T19:39:08.210000,0,0,0,0,0,0,0,0,4,0,0,0,32,0,0,0,32,0,0,0,32,30.0
1100347:0066,66,1100347,DEBUG,1,189,2025-12-20T15:40:04.825000,2025-12-20T15:40:06.825000,backspace+2s,2025-12-20T15:34:03.597000,2025-12-20T15:48:52.170000,1,1,0,0,1,1,0,0,8,1,0,1,13,1,0,1,20,1,0,1,190,2.0
1152912:0067,67,1152912,IDLE,0,167,2025-12-25T14:57:11.731000,2025-12-25T14:57:41.731000,pause_start+30s,2025-12-25T14:54:34.514000,2025-12-25T15:22:45.991000,0,0,0,0,0,0,0,0,1,0,0,0,18,0,0,1,50,0,0,2,168,30.0
1259459:0068,68,1259459,DEBUG,0,51,2026-01-04T19:01:28.842000,2026-01-04T19:01:30.842000,backspace+2s,2026-01-04T19:00:46.922000,2026-01-04T19:11:28.931000,4,2,0,0,7,3,0,0,7,3,0,0,52,3,0,3,52,3,0,3,52,2.0
1283120:0069,69,1283120,IDLE,1,191,2026-01-05T22:32:25.238000,2026-01-05T22:32:55.238000,pause_start+30s,2026-01-05T22:29:57.473000,2026-01-05T22:45:34.858000,0,0,0,0,0,0,0,0,1,0,0,1,17,0,0,1,124,0,0,4,192,30.0
1426080:0070,70,1426080,IDLE,1,226,2026-03-23T18:08:02.897000,2026-03-23T18:08:32.897000,pause_start+30s,2026-03-23T18:05:42.766000,2026-03-23T18:21:06.232000,0,0,0,0,0,0,0,0,1,0,0,1,70,0,0,4,149,0,0,8,227,30.0
1440343:0071,71,1440343,IDLE,1,1,2026-03-28T09:35:57.446000,2026-03-28T09:36:27.446000,pause_start+30s,2026-03-28T09:35:49.918000,2026-03-28T09:53:55.490000,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,2,30.0
1261251:0072,72,1261251,IDLE,1,44,2026-01-04T19:43:05.789000,2026-01-04T19:43:35.789000,pause_start+30s,2026-01-04T19:42:40.601000,2026-01-04T20:02:27.190000,0,0,0,0,0,0,0,0,1,0,0,1,45,0,0,3,45,0,0,3,45,30.0
1421900:0073,73,1421900,IDLE,1,9,2026-03-17T19:07:57.950000,2026-03-17T19:08:27.950000,pause_start+30s,2026-03-17T19:07:40.677000,2026-03-17T19:31:34.116000,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,10,0,0,0,10,30.0
1380309:0074,74,1380309,DEBUG,0,0,2026-01-09T21:08:28.333000,2026-01-09T21:08:30.333000,backspace+2s,2026-01-09T21:08:28.333000,2026-01-09T21:29:50.156000,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,2.0
1298725:0075,75,1298725,IDLE,1,375,2026-01-06T19:55:33.834000,2026-01-06T19:56:03.834000,pause_start+30s,2026-01-06T19:50:29.763000,2026-01-06T19:56:14.643000,0,0,0,0,0,0,0,0,1,0,0,0,32,0,0,3,91,0,0,6,376,30.0
1153749:0076,76,1153749,IDLE,1,80,2025-12-25T13:55:33.620000,2025-12-25T13:56:03.620000,pause_start+30s,2025-12-25T13:54:35.861000,2025-12-25T14:22:17.219000,0,0,0,0,0,0,0,0,1,0,0,0,41,0,0,4,81,0,0,7,81,30.0
1009217:0077,77,1009217,DEBUG,0,421,2025-12-08T21:06:47.472000,2025-12-08T21:06:49.472000,backspace+2s,2025-12-08T20:50:50.107000,2025-12-08T21:08:36.733000,27,27,0,0,27,27,0,0,27,27,0,0,27,27,0,0,27,27,0,0,422,2.0
1437949:0078,78,1437949,IDLE,0,80,2026-03-27T06:42:10.198000,2026-03-27T06:42:40.198000,pause_start+30s,2026-03-27T06:41:35.324000,2026-03-27T07:06:20.970000,0,0,0,0,0,0,0,0,1,0,0,0,70,0,0,5,81,0,0,5,81,30.0
1133820:0079,79,1133820,IDLE,1,56,2025-12-24T00:42:18.611000,2025-12-24T00:42:48.611000,pause_start+30s,2025-12-24T00:41:06.782000,2025-12-24T00:46:09.304000,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,57,0,0,4,57,30.0
1162233:0080,80,1162233,DEBUG,1,411,2025-12-26T08:36:01.893000,2025-12-26T08:36:03.893000,backspace+2s,2025-12-26T08:19:27.933000,2025-12-26T08:36:36.630000,2,2,0,0,2,2,0,0,5,2,0,0,6,2,0,0,23,2,0,0,412,2.0
1162277:0081,81,1162277,DEBUG,1,411,2025-12-26T08:36:01.893000,2025-12-26T08:36:03.893000,backspace+2s,2025-12-26T08:19:27.933000,2025-12-26T08:37:14.120000,2,2,0,0,2,2,0,0,5,2,0,0,6,2,0,0,23,2,0,0,412,2.0
1132896:0082,82,1132896,DEBUG,1,762,2025-12-23T22:44:05.610000,2025-12-23T22:44:07.610000,backspace+2s,2025-12-23T22:25:13.247000,2025-12-23T22:50:02.614000,3,1,0,0,3,1,0,0,4,1,0,0,7,2,0,0,125,2,0,11,763,2.0
1150469:0083,83,1150469,IDLE,0,48,2025-12-25T14:29:14.525000,2025-12-25T14:29:44.525000,pause_start+30s,2025-12-25T14:28:59.669000,2025-12-25T14:43:24.210000,0,0,0,0,0,0,0,0,1,0,0,1,49,0,0,3,49,0,0,3,49,30.0
1454401:0084,84,1454401,DEBUG,1,117,2026-04-07T20:01:07.923000,2026-04-07T20:01:09.923000,backspace+2s,2026-04-07T19:53:53.826000,2026-04-07T20:03:07.676000,2,2,0,0,2,2,0,0,2,2,0,0,3,2,0,0,15,2,0,0,118,2.0
1139243:0085,85,1139243,IDLE,1,345,2025-12-24T14:18:29.470000,2025-12-24T14:18:59.470000,pause_start+30s,2025-12-24T14:10:04.978000,2025-12-24T14:25:57.235000,0,0,0,0,0,0,0,0,1,0,0,0,30,0,0,2,64,0,0,3,346,30.0
1351364:0086,86,1351364,IDLE,1,90,2026-01-08T20:40:54.235000,2026-01-08T20:41:24.235000,pause_start+30s,2026-01-08T20:40:09.198000,2026-01-08T21:00:22.176000,0,0,0,0,0,0,0,0,1,0,0,1,61,0,0,5,91,3,0,5,91,30.0
1296350:0087,87,1296350,IDLE,0,21,2026-01-06T17:36:32.251000,2026-01-06T17:37:02.251000,pause_start+30s,2026-01-06T17:36:08.479000,2026-01-06T17:54:39.676000,0,0,0,0,0,0,0,0,1,0,0,0,22,0,0,1,22,0,0,1,22,30.0
1414032:0088,88,1414032,DEBUG,1,0,2026-02-12T10:38:34.908000,2026-02-12T10:38:36.908000,backspace+2s,2026-02-12T10:38:34.908000,2026-02-12T11:05:59.633000,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,2.0
1366530:0089,89,1366530,DEBUG,1,365,2026-01-09T15:32:55.845000,2026-01-09T15:32:57.845000,backspace+2s,2026-01-09T15:15:14.864000,2026-01-09T15:35:43.282000,4,4,0,0,7,4,0,0,18,4,0,0,18,4,0,0,33,4,0,0,366,2.0
1335152:0090,90,1335152,IDLE,0,1,2026-01-08T11:33:36.702000,2026-01-08T11:34:06.702000,pause_start+30s,2026-01-08T11:33:36.484000,2026-01-08T11:58:50.240000,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,2,30.0
1223445:0091,91,1223445,IDLE,1,57,2025-12-31T09:53:27.617000,2025-12-31T09:53:57.617000,pause_start+30s,2025-12-31T09:52:05.662000,2025-12-31T10:08:45.522000,0,0,0,0,0,0,0,0,1,0,0,0,27,0,0,2,58,0,0,2,58,30.0
1101965:0092,92,1101965,IDLE,1,93,2025-12-20T17:27:36.709000,2025-12-20T17:28:06.709000,pause_start+30s,2025-12-20T17:25:53.358000,2025-12-20T17:45:56.377000,0,0,0,0,0,0,0,0,1,0,0,0,37,0,0,2,74,0,0,4,94,30.0
1096919:0093,93,1096919,IDLE,1,59,2025-12-20T09:24:16.903000,2025-12-20T09:24:46.903000,pause_start+30s,2025-12-20T09:23:18.974000,2025-12-20T09:39:20.423000,0,0,0,0,0,0,0,0,1,0,0,1,40,0,0,4,60,0,0,4,60,30.0
