duration_s,total_keys,keys_per_min,pause_P50,pause_P75,pause_P90,pause_P95,pause_P99,pause_mean,pause_std,long_pauses_30s,long_pauses_60s,bs_total,bs_ratio,bs_burst_count,bs_burst_max,bs_then_long_pause,enter_total,enter_ratio,ctrl_total,shift_total,row_changes,row_changes_ratio,burst_count,keys_per_burst,burst_len_mean,burst_len_std,char_count,char_ratio,solution_id,judge,problem_pass_rate,attempt_number,user_ac_rate,user_total_submissions,ac
707.535,56,4.748881680764909,0.035,0.3125,0.7937999999999995,3.224249999999985,340.5165900000013,13.636903846153842,91.95205915778146,1,1,2,0.0357142857142857,0,0,0,0,0.0,0,44,1,0.0181818181818181,2,28.0,28.0,14.0,10,0.1785714285714285,993056,AC,0.765,2,0.311,302,1
67.002,40,35.81982627384257,0.6559999999999999,1.42875,3.2885,6.81975,20.09424999999997,1.894888888888889,4.462613364746029,0,0,0,0.0,0,0,0,4,0.1,2,5,7,0.1794871794871795,1,40.0,40.0,0.0,29,0.725,993198,WA,0.568,7,0.394,393,0
1314.33,210,9.586633493871402,0.4325,0.969,2.9003000000000045,13.654099999999817,189.4963,6.653,31.053404699880257,9,7,0,0.0,0,0,0,19,0.0904761904761904,5,42,29,0.138755980861244,10,21.0,21.0,45.69682702332843,130,0.6190476190476191,993249,AC,0.568,4,0.472,197,1
455.303,576,75.90549590053217,0.31,0.72675,1.4540999999999995,2.5788500000000005,11.46696000000004,0.8570128676470589,2.63588467572682,1,0,0,0.0,0,0,0,16,0.0277777777777777,0,307,27,0.0469565217391304,2,288.0,288.0,34.0,244,0.4236111111111111,993279,AC,0.760,2,0.398,259,1
452.595,424,56.20919364995194,0.245,0.5965,1.7724,3.3554999999999997,19.956479999999864,1.1506065162907269,4.38284876607937,2,0,0,0.0,0,0,0,15,0.035377358490566,0,239,22,0.0520094562647754,3,141.33333333333334,141.33333333333334,194.92961692763765,163,0.3844339622641509,993312,WA,0.675,1,0.317,312,0
131.401,40,18.26470118187837,0.409,1.2185,5.920600000000039,22.8209,36.21757999999995,3.36925641025641,8.61070000941866,1,0,0,0.0,0,0,0,1,0.025,1,7,4,0.1025641025641025,2,20.0,20.0,2.0,29,0.725,993324,AC,0.811,3,0.47,200,1
322.029,149,27.76147489822345,0.421,0.971,2.2264000000000004,3.5198,30.736400000000017,2.335107913669064,12.754103006168318,2,1,0,0.0,0,0,0,16,0.1073825503355704,4,17,18,0.1216216216216216,3,49.66666666666666,49.66666666666666,39.96943276499625,97,0.6510067114093959,993489,AC,0.402,1,0.478,205,1
904.364,502,33.30517358054942,0.4595,1.41225,3.094400000000004,6.632499999999991,24.046019999999796,1.8994479166666665,6.737130639643308,5,3,0,0.0,0,0,0,26,0.0517928286852589,0,50,40,0.0798403193612774,6,83.66666666666667,83.66666666666667,162.1477378469675,400,0.796812749003984,993579,AC,0.592,1,0.421,259,1
440.644,306,41.66628843238532,0.3125,0.87825,1.937,4.16675,25.991549999999684,1.557426573426573,6.712579204767186,3,1,0,0.0,0,0,0,32,0.1045751633986928,4,41,43,0.140983606557377,4,76.5,76.5,126.74087738373916,222,0.7254901960784313,993810,AC,0.542,5,0.306,412,1
357.143,324,54.43197822720871,0.412,0.8815,1.797,3.261,10.176499999999963,1.1587781350482316,4.0601900085784,1,0,2,0.0061728395061728,0,0,1,19,0.0586419753086419,0,32,23,0.0712074303405572,2,162.0,162.0,6.0,228,0.7037037037037037,993827,WA,0.592,4,0.404,255,0
489.636,336,41.17344312918168,0.42,0.942,2.0074000000000014,4.313899999999999,22.249670000000123,1.5306583850931677,6.1054701769853095,2,1,2,0.0059523809523809,0,0,1,20,0.0595238095238095,3,32,30,0.0895522388059701,3,112.0,112.0,72.24033960791344,233,0.6934523809523809,993836,AC,0.592,6,0.401,257,1
336.059,250,44.63501944599014,0.326,0.855,2.354000000000002,4.4312,22.23271999999999,1.494069868995633,5.515226524774162,2,0,1,0.004,0,0,0,9,0.036,1,47,12,0.0481927710843373,3,83.33333333333333,83.33333333333333,86.41887653876451,178,0.712,993970,TLE,0.056,1,0.435,262,0
455.112,234,30.84954912197437,0.6835,1.55075,3.6048,5.76485,15.379949999999976,2.006574561403509,7.490866389275973,1,1,0,0.0,0,0,0,13,0.0555555555555555,0,33,16,0.0686695278969957,2,117.0,117.0,36.0,181,0.7735042735042735,994050,WA,0.458,1,0.299,371,0
211.863,114,32.28501437249543,0.3925,1.40125,3.935600000000011,6.417999999999998,18.65415999999998,1.9325818181818184,6.302064158788579,1,1,0,0.0,0,0,0,4,0.0350877192982456,6,31,16,0.1415929203539823,2,57.0,57.0,35.0,66,0.5789473684210527,994303,WA,0.273,8,0.399,178,0
404.03,289,42.917605128332056,0.379,1.098,2.063300000000001,4.175749999999998,19.11920000000018,1.4682517985611514,5.254077321941771,2,1,0,0.0,0,0,0,13,0.0449826989619377,0,96,14,0.0486111111111111,3,96.33333333333331,96.33333333333331,18.83849486792639,174,0.6020761245674741,994311,AC,0.874,1,0.466,320,1
1358.326,767,33.87993751131908,0.1735,0.869,2.1958,5.131000000000001,31.54393000000001,1.9258403361344536,11.194471496151523,8,2,0,0.0,0,0,0,21,0.0273794002607561,67,299,34,0.0443864229765013,9,85.22222222222223,85.22222222222223,66.10392117765578,359,0.4680573663624511,994340,AC,0.460,1,0.4,413,1
771.674,36,2.799109468506131,2.738,5.932,31.77679999999995,156.56099999999975,339.5832399999998,26.608896551724143,79.46356915369755,3,3,0,0.0,0,0,0,15,0.4166666666666667,10,0,22,0.6285714285714286,4,9.0,9.0,5.612486080160912,4,0.1111111111111111,994390,AC,0.424,1,0.537,205,1
