solution_id,problem_id,judge,has_code,duration_s,total_keys
991913,1301,CE,True,374.8,262
991914,1301,AC,True,385.6,264
991915,2138,CE,True,1257.4,73
991916,2138,AC,True,1271.6,76
991945,1383,AC,True,1038.3,376
991955,1206,TLE,True,814.4,399
991958,1206,AC,True,891.6,403
991975,1064,WA,True,257.1,99
991976,1025,WA,True,691.6,445
991996,1064,AC,True,67.7,46
992009,1025,TLE,True,317.3,58
992018,1039,AC,True,271.6,41
992026,1640,WA,True,318.1,190
992030,1025,AC,True,845.9,340
992043,1024,AC,True,137.3,155
992045,1640,WA,True,435.5,194
992047,1640,WA,True,435.5,194
992048,1640,AC,True,435.5,194
992050,1030,AC,True,1776.1,195
992057,1022,AC,True,218.9,219
992069,1021,AC,True,169.3,161
992086,1902,TLE,True,144.5,32
992102,1043,WA,True,621.0,428
992104,2132,WA,True,801.2,110
992109,2132,WA,True,1175.2,119
992111,1383,AC,True,1690.7,435
992116,1029,TLE,True,663.1,395
992117,1029,NoData,True,718.3,396
992119,1029,TLE,True,1022.1,452
992125,1495,CE,True,101.8,41
992127,1495,AC,True,101.8,41
992147,1512,TLE,True,330.0,244
992161,1512,AC,True,558.6,188
992177,1510,WA,True,1197.3,691
992181,0,CE,True,686.3,612
992195,1510,WA,True,1490.8,612
992198,1510,WA,True,1490.8,612
992200,1510,WA,True,1490.8,612
992203,1510,WA,True,1499.2,966
992205,1510,WA,True,1555.6,614
992212,1510,WA,True,1552.1,968
992219,1516,AC,True,181.3,227
992224,1510,WA,True,1742.6,1068
992236,2087,AC,True,388.0,157
992238,1510,WA,True,262.1,104
992244,1516,AC,True,260.2,224
992252,2127,AC,True,178.2,174
992253,1510,WA,True,362.9,123
992259,1510,WA,True,461.3,133
992263,1510,WA,True,461.3,133
992272,1510,WA,True,512.0,139
992279,1516,WA,True,531.5,383
992294,1516,AC,True,649.3,396
992298,1510,WA,True,92.6,43
992310,2128,AC,True,314.6,213
992311,1512,WA,True,1332.3,441
992325,1512,AC,True,744.3,466
992335,2083,AC,True,783.7,386
992339,1512,WA,True,1519.2,461
992350,1510,WA,True,457.2,58
992359,1516,AC,True,393.0,304
