n,positive_rate,predicted_rate,precision,recall,f1,false_prompts,false_prompt_rate,tp,tn,fp,fn,label,parameter,idle_s,keys_limit,split,f1_ci_low,f1_ci_high,context_s
268,0.1828358208955224,0.2462686567164179,0.5757575757575758,0.7755102040816326,0.6608695652173914,28,0.1278538812785388,38,191,28,11,recall_candidates,context_s,30,8,dev,,,10.0
98,0.20408163265306123,0.336734693877551,0.5454545454545454,0.9,0.679245283018868,15,0.19230769230769232,18,63,15,2,recall_candidates,context_s,30,8,test,0.5277863777089784,0.7894736842105263,10.0
268,0.1828358208955224,0.2462686567164179,0.5757575757575758,0.7755102040816326,0.6608695652173914,28,0.1278538812785388,38,191,28,11,recall_candidates,context_s,30,8,dev,,,30.0
98,0.20408163265306123,0.336734693877551,0.5454545454545454,0.9,0.679245283018868,15,0.19230769230769232,18,63,15,2,recall_candidates,context_s,30,8,test,0.5277863777089784,0.7894736842105263,30.0
268,0.1828358208955224,0.19402985074626866,0.5769230769230769,0.6122448979591837,0.594059405940594,22,0.1004566210045662,30,197,22,19,recall_candidates,context_s,30,8,dev,,,60.0
98,0.20408163265306123,0.25510204081632654,0.64,0.8,0.7111111111111111,9,0.11538461538461539,16,69,9,4,recall_candidates,context_s,30,8,test,0.56,0.8333333333333334,60.0
268,0.1828358208955224,0.09328358208955224,0.56,0.2857142857142857,0.37837837837837834,11,0.0502283105022831,14,208,11,35,recall_candidates,context_s,30,8,dev,,,120.0
98,0.20408163265306123,0.15306122448979592,0.7333333333333333,0.55,0.6285714285714286,4,0.05128205128205128,11,74,4,9,recall_candidates,context_s,30,8,test,0.41000000000000003,0.761904761904762,120.0
237,0.08438818565400844,0.2616033755274262,0.27419354838709675,0.85,0.4146341463414634,45,0.2073732718894009,17,172,45,3,human_reviewed,idle_s,5,8,dev,,,
83,0.03614457831325301,0.24096385542168675,0.15,1.0,0.2608695652173913,17,0.2125,3,63,17,0,human_reviewed,idle_s,5,8,test,0.0,0.42857142857142855,
237,0.08438818565400844,0.24472573839662448,0.29310344827586204,0.85,0.4358974358974359,41,0.1889400921658986,17,176,41,3,human_reviewed,idle_s,10,8,dev,,,
83,0.03614457831325301,0.2289156626506024,0.15789473684210525,1.0,0.2727272727272727,16,0.2,3,64,16,0,human_reviewed,idle_s,10,8,test,0.0,0.4615384615384615,
237,0.08438818565400844,0.22362869198312235,0.3018867924528302,0.8,0.4383561643835617,37,0.17050691244239632,16,180,37,4,human_reviewed,idle_s,15,8,dev,,,
83,0.03614457831325301,0.21686746987951808,0.16666666666666666,1.0,0.2857142857142857,15,0.1875,3,65,15,0,human_reviewed,idle_s,15,8,test,0.0,0.4615384615384615,
237,0.08438818565400844,0.20253164556962025,0.2916666666666667,0.7,0.4117647058823529,34,0.15668202764976957,14,183,34,6,human_reviewed,idle_s,20,8,dev,,,
83,0.03614457831325301,0.20481927710843373,0.17647058823529413,1.0,0.3,14,0.175,3,66,14,0,human_reviewed,idle_s,20,8,test,0.0,0.5,
237,0.08438818565400844,0.18143459915611815,0.2558139534883721,0.55,0.34920634920634924,32,0.14746543778801843,11,185,32,9,human_reviewed,idle_s,25,8,dev,,,
83,0.03614457831325301,0.20481927710843373,0.17647058823529413,1.0,0.3,14,0.175,3,66,14,0,human_reviewed,idle_s,25,8,test,0.0,0.5,
237,0.08438818565400844,0.16877637130801687,0.225,0.45,0.3,31,0.14285714285714285,9,186,31,11,human_reviewed,idle_s,27,8,dev,,,
83,0.03614457831325301,0.1927710843373494,0.125,0.6666666666666666,0.21052631578947367,14,0.175,2,66,14,1,human_reviewed,idle_s,27,8,test,0.0,0.36363636363636365,
237,0.08438818565400844,0.15611814345991562,0.21621621621621623,0.4,0.2807017543859649,29,0.1336405529953917,8,188,29,12,human_reviewed,idle_s,30,8,dev,,,
83,0.03614457831325301,0.1927710843373494,0.125,0.6666666666666666,0.21052631578947367,14,0.175,2,66,14,1,human_reviewed,idle_s,30,8,test,0.0,0.36363636363636365,
237,0.08438818565400844,0.1350210970464135,0.1875,0.3,0.23076923076923075,26,0.11981566820276497,6,191,26,14,human_reviewed,idle_s,33,8,dev,,,
83,0.03614457831325301,0.1927710843373494,0.125,0.6666666666666666,0.21052631578947367,14,0.175,2,66,14,1,human_reviewed,idle_s,33,8,test,0.0,0.36363636363636365,
